id,dateTime,mag,latitude,longitude,place
1,2005/02/03 07:48:31,2.4,39 N,130.4 E,경북 울릉군 울릉도 북북서쪽 175km 해역
2,2005/02/05 11:27:28,2.5,33.5 N,126.4 E,제주 제주시 서쪽 12km 해역
3,2005/02/07 20:16:04,2.8,36.59 N,130.02 E,경북 영덕군 동북동쪽 62km 해역
4,2005/02/20 22:18:39,3.4,35.4 N,126.22 E,전남 영광군 서북서쪽 약 30km 해역
5,2005/03/12 11:56:48,2.4,38.82 N,127.14 E,북한 강원 회양 서북서쪽 42km 지역
6,2005/03/17 23:39:52,3.1,32.47 N,125.85 E,제주 서귀포시 남서쪽 108km 해역
7,2005/03/31 19:32:40,2.2,36.43 N,125.57 E,충남 태안군 서격렬비열도 남쪽 19km 해역
8,2005/04/01 00:15:20,2.4,33.56 N,126.97 E,제주 서귀포시 성산 북북동쪽 21km 해역
9,2005/04/09 19:14:00,2.4,37.17 N,125.41 E,인천 옹진군 연평도 남남서쪽 61km 해역
10,2005/04/09 23:04:51,2.4,35.67 N,130.03 E,울산 동구 동북동쪽 58km 해역
11,2005/04/21 12:37:34,3.0,34.91 N,125.47 E,전남 신안군 흑산면 북쪽 29km 해역
12,2005/05/01 16:27:09,3.6,35.04 N,123 E,전남 신안군 가거도 서북서쪽 224km 해역
13,2005/05/15 07:22:32,2.6,38.13 N,125.6 E,북한 황해남도 해주 북서쪽 14km 지역
14,2005/06/08 00:07:29,2.5,37.51 N,124.76 E,인천 백령도 남쪽 50km 해역
15,2005/06/10 12:49:54,2.4,36.73 N,128.48 E,경북 예천군 북북동쪽 9km 지역
16,2005/06/10 21:14:36,2.5,36.78 N,128.48 E,경북 영주시 서쪽 13km 지역
17,2005/06/15 07:07:02,3.7,33.15 N,126.14 E,제주 제주시 고산 남쪽 16km 해역
18,2005/06/15 07:37:47,3.0,33 N,126.15 E,제주 제주시 고산 남쪽 33km 해역
19,2005/06/20 15:31:49,3.0,38.81 N,125.57 E,북한 황해북도 송림 북서쪽 10km 지역
20,2005/06/29 23:18:05,4.0,34.5 N,129.05 E,경남 통영시 매물도 동남동쪽 46km 해역
21,2005/06/30 00:25:04,3.1,36.66 N,129.63 E,경북 영덕군 북동쪽 36km 해역
22,2005/07/30 03:01:37,3.1,34.14 N,127.47 E,전남 여수시 거문도 북동쪽 19km 해역
23,2005/08/24 05:06:26,3.5,34.06 N,126.95 E,전남 완도군 남남동쪽 33km 해역
24,2005/08/25 19:33:47,2.2,36.75 N,126.3 E,충남 태안군 북쪽 1km 지역
25,2005/08/31 12:58:10,2.1,37.12 N,129.7 E,경북 울진군 동북동쪽 30km 해역
26,2005/09/07 17:11:10,2.1,37.09 N,127.86 E,충북 충주시 북북서쪽 9km 지역
27,2005/10/03 19:18:38,2.1,35.62 N,129.4 E,울산 북구 북동쪽 6km 지역
28,2005/10/10 08:51:06,3.4,37.93 N,124.9 E,북한 인천 백령도 동쪽 20km 해역
29,2005/10/13 11:22:29,2.5,36.95 N,129.43 E,경북 울진군 남남동쪽 5km 해역
30,2005/10/21 12:00:30,3.0,37.89 N,125.01 E,북한 인천 백령도 동남동쪽 30km 해역
31,2005/10/23 01:02:45,2.5,34.97 N,127.07 E,전남 화순군 남동쪽 13km 지역
32,2005/11/06 12:52:45,2.2,35.98 N,128.13 E,경북 김천시 남쪽 18km 지역
33,2005/11/15 09:10:49,3.0,37.2 N,128.79 E,강원 정선군 남남동쪽 23km 지역
34,2005/11/27 11:47:04,3.1,38.35 N,123.99 E,북한 인천 백령도 북서쪽 75km 해역
35,2005/12/07 18:02:11,2.2,36.63 N,127.77 E,충북 괴산군 남쪽 20km 지역
36,2005/12/18 00:00:03,2.2,34.64 N,127.61 E,전남 여수시 남서쪽 15km 해역
37,2005/12/25 03:58:48,2.4,34.74 N,127.22 E,전남 보성군 동남동쪽 13km 해역
38,2006/01/19 12:35:34,3.2,37.21 N,128.8 E,강원 영월군 동쪽 약 20km 지역
39,2006/01/19 22:53:30,2.0,37.19 N,128.77 E,강원 정선군 동남동쪽 약 14 km 지역
40,2006/01/21 11:29:49,2.1,36.33 N,127.26 E,대전광역시 유성구 서쪽 약 11km 지역
41,2006/02/14 03:32:02,3.0,38.67 N,126.03 E,북한 황해도 사리원 동북동쪽 약 31km 지역
42,2006/02/28 00:11:22,2.3,35.81 N,127.89 E,경남 거창군 북북서쪽 약 9km 지역
43,2006/02/28 18:52:38,2.3,36.22 N,127.66 E,충북 옥천군 동남동쪽 약 11 km 지역
44,2006/03/10 05:57:17,2.5,33.3 N,127.15 E,제주 남제주군 동쪽 약 65km해역
45,2006/03/11 04:52:22,2.1,37.13 N,126 E,충남 태안군 북서쪽 약 42km 해역
46,2006/03/15 04:36:54,2.4,38.19 N,125.94 E,북한 황해도 해주 동북동쪽 약 27km 지역
47,2006/03/19 13:59:47,2.9,36.34 N,127.36 E,대전광역시 서구 서남서쪽 약 2km 지역
48,2006/03/19 14:03:46,2.0,36.33 N,127.34 E,대전광역시 유성구 남서쪽 약 3km 지역
49,2006/03/23 07:42:55,2.5,38.32 N,127.3 E,강원도 철원군 북쪽 약 12km 지역
50,2006/03/26 07:54:50,2.4,35.66 N,126.26 E,전남 영광군 북서쪽 약 38km 해역
51,2006/04/02 00:04:37,2.0,35.38 N,127.22 E,전북 순창군 동쪽 약 9km 지역
52,2006/04/03 18:14:04,3.3,38.68 N,125.96 E,북한 황해도 사리원 동북동쪽 약 24km지역
53,2006/04/13 01:09:47,2.8,34.74 N,125.01 E,전남 신안군 흑산면 서쪽 약 52km 해역
54,2006/04/19 09:35:10,2.4,37.07 N,129.93 E,경북 울진군 동쪽 약 59km 해역
55,2006/04/19 09:49:34,3.0,37.05 N,129.96 E,경북 울진군 동쪽 약 62km 해역
56,2006/04/19 10:57:56,2.5,37.1 N,129.91 E,경북 울진군 동쪽 약 57km 해역
57,2006/04/19 16:01:32,2.4,37.1 N,129.92 E,경북 울진군 동쪽 약 58km 해역
58,2006/04/19 16:18:13,2.1,37.01 N,129.82 E,경북 울진군 동쪽 약 46km 해역
59,2006/04/28 23:47:55,3.0,37.09 N,129.92 E,경북 울진군 동쪽 약 58km 해역
60,2006/04/28 23:54:56,2.5,37.12 N,129.93 E,경북 울진군 동쪽 약 59km 해역
61,2006/04/29 01:01:00,2.5,37.07 N,129.81 E,경북 울진군 동쪽 약 46km 해역
62,2006/04/29 11:01:12,3.5,37.09 N,129.92 E,경북 울진군 동쪽 약 58km 해역
63,2006/04/30 09:50:04,2.5,37.05 N,129.84 E,경북 울진군 동쪽 약 49km 해역
64,2006/05/08 06:59:15,2.4,36.22 N,129.54 E,경북 포항시 북구 북동쪽 약 23km 해역
65,2006/06/01 11:58:01,2.4,34.6 N,128.16 E,경남 남해군 동남동쪽 약 34km 해역
66,2006/07/18 14:49:53,2.0,36.13 N,126.65 E,충남 서천군 북서쪽 약 6km 지역
67,2006/07/24 02:44:17,2.0,37.17 N,126.32 E,충남 서산시 북북서쪽 약 30km 해역
68,2006/07/25 23:29:18,2.5,35.79 N,127.89 E,경남 거창군 북북서쪽 약 8km 지역
69,2006/07/26 02:50:38,2.0,35.8 N,127.88 E,경남 거창군 북북서쪽 약 9km 지역
70,2006/08/01 12:57:36,2.0,35.74 N,127.82 E,경남 거창군 서북서쪽 약 11km 지역
71,2006/08/07 14:18:33,2.8,35.6 N,124.63 E,전남 신안군 흑산면 서북서쪽 약 111km 해역
72,2006/08/09 08:16:19,2.3,35.7 N,124.8 E,충남 태안군 서격렬비열도 남서쪽 약 100km 해역
73,2006/08/26 07:44:16,2.2,37.21 N,128.81 E,강원도 태백시 서쪽 약 20km 지역
74,2006/09/20 00:03:11,2.6,35.92 N,129.56 E,경북 포항시 남구 동남동쪽 약 23km 해역
75,2006/09/20 14:15:33,2.1,34.62 N,128.81 E,경남 거제시 남동쪽 약 27km 해역
76,2006/09/29 23:07:52,3.4,34.1 N,124.9 E,전남 신안군 흑산면 서남서쪽 약 73km 해역
77,2006/10/04 05:29:22,2.2,36.67 N,127.67 E,충북 청원군 동쪽 약 20km 지역
78,2006/10/16 14:12:58,2.4,37.35 N,124.88 E,인천 백령도 남남동쪽 약 44km 해역
79,2006/10/22 14:09:16,2.2,37.13 N,125.98 E,충남 태안군 북서쪽 약 44km 해역
80,2006/10/25 18:14:25,2.6,33.36 N,125.75 E,제주 제주시 서쪽 약 84km 해역
81,2006/11/11 01:16:01,2.4,35.97 N,127.45 E,충남 금산군 남남서쪽 약 10km 지역
82,2006/11/12 08:19:34,2.9,38.59 N,125.12 E,북한 황해도 장연 북쪽 약 22km 지역
83,2006/11/26 03:05:34,2.4,34.14 N,127.48 E,전남 고흥군 남동쪽 약 38km 해역
84,2006/12/04 00:51:41,2.7,36.46 N,127.92 E,충북 보은군 동쪽 약 21km 지역
85,2006/12/10 01:39:52,2.5,33.06 N,126.22 E,제주 서귀포시 서남서쪽 약 35km 해역
86,2006/12/20 01:18:19,2.1,37.14 N,129.9 E,경북 울진군 동쪽 약 56km 해역
87,2006/12/28 09:44:51,2.2,36.11 N,128.11 E,경북 김천시 남동쪽 약 2km 지역
88,2007/01/06 05:47:16,2.4,39.11 N,127.98 E,북한 강원 원산 동쪽 48km 해역
89,2007/01/19 09:06:23,2.0,37.69 N,128.57 E,강원 평창군 북북동쪽 39km 지역
90,2007/01/20 20:56:53,4.8,37.68 N,128.59 E,강원 평창군 북북동쪽 39km 지역
91,2007/01/24 16:31:56,2.4,38.62 N,125.59 E,북한 황해북도 송림 남남서쪽 13km 지역
92,2007/02/06 00:35:03,2.2,35.13 N,129.41 E,부산 기장군 남동쪽 21km 해역
93,2007/03/10 18:18:41,2.0,37.21 N,128.85 E,강원 정선군 남동쪽 25km 지역
94,2007/03/15 05:30:12,2.9,36.18 N,127.97 E,충북 영동군 동쪽 17km 지역
95,2007/03/28 02:47:15,2.8,38.64 N,125.6 E,북한 황해북도 송림 남남서쪽 11km 해역
96,2007/04/01 22:16:04,2.3,38.58 N,125.63 E,북한 황해북도 사리원 북서쪽 14km 지역
97,2007/04/25 08:36:40,2.0,36.94 N,126.53 E,충남 당진군 서북서쪽 11km 지역
98,2007/05/03 12:24:07,2.2,36.13 N,127.85 E,충북 영동군 남동쪽 7km 지역
99,2007/05/03 18:24:01,2.1,36.6 N,127.83 E,경북 상주시 북서쪽 36km 지역
100,2007/05/11 05:51:51,2.1,35.55 N,129.91 E,울산 동구 동쪽 45km 해역
101,2007/05/13 16:22:47,2.2,35.92 N,128.01 E,경북 김천시 남남서쪽 25km 지역
102,2007/05/16 04:56:08,2.5,35.72 N,129.22 E,경북 경주시 남쪽 13km 지역
103,2007/05/19 07:53:25,2.4,36.57 N,129 E,경북 청송군 북북서쪽 16km 지역
104,2007/05/26 19:59:26,2.5,36.1 N,125.05 E,충남 태안군 서격렬비열도 남서쪽 70km 해역
105,2007/05/28 00:51:58,2.1,35.23 N,128.57 E,경남 마산시 북쪽 4km 지역
106,2007/06/26 00:01:23,2.2,35.61 N,130.15 E,울산 동구 동쪽 67km 해역
107,2007/07/08 19:28:31,2.2,37.37 N,129.66 E,강원 삼척시 동남동쪽 약 44km 해역
108,2007/07/19 21:01:12,2.2,37.08 N,129.01 E,강원 태백시 남남동쪽 9km 지역
109,2007/07/22 13:49:27,2.6,36.88 N,126.66 E,충남 당진군 동남동쪽 약 3km 지역
110,2007/07/27 01:37:08,2.1,39.16 N,126.65 E,북한 평안남도 양덕 남남동쪽 6km 지역
111,2007/08/07 18:39:49,2.4,37.23 N,128.8 E,강원 정선군 남동쪽 20km 지역
112,2007/08/12 04:52:31,2.1,36.05 N,127.74 E,충북 영동군 남남서쪽 약 14km 지역
113,2007/08/18 15:09:35,2.5,35.99 N,125.78 E,전북 군산시 어청도 남서쪽 23km 해역
114,2007/08/30 16:12:57,2.9,38.69 N,125.64 E,북한 황해북도 송림 남쪽 약 5km 지역
115,2007/09/12 06:50:59,2.7,36.46 N,129.47 E,경북 영덕군 동북동쪽 약 11km 해역
116,2007/09/17 01:16:31,3.0,36.45 N,129.69 E,경북 영덕군 동쪽 약 29km 해역
117,2007/09/24 00:24:08,2.6,36.45 N,129.61 E,경북 영덕군 동쪽 22km 해역
118,2007/10/01 01:02:44,2.2,36.44 N,129.54 E,경북 영덕군 북동쪽 약 16km 해역
119,2007/10/04 23:56:07,2.9,36.43 N,129.55 E,경북 영덕군 동쪽 약 16km 해역
120,2007/10/06 09:08:08,2.5,35.59 N,125.96 E,전남 영광군 북서쪽 61km 해역
121,2007/10/08 22:36:54,2.2,38.9 N,125.76 E,북한 평양 남쪽 13km 지역
122,2007/10/13 04:13:35,2.1,36.44 N,129.63 E,경북 영덕군 동쪽 24km 해역
123,2007/10/16 14:59:03,2.9,37.45 N,128.97 E,강원 동해시 서남서쪽 15km 지역
124,2007/10/17 20:06:26,2.1,36.43 N,129.57 E,경북 영덕군 동쪽 18km 해역
125,2007/10/29 02:32:01,2.5,36.62 N,128.42 E,경북 예천군 남서쪽 5km 지역
126,2007/11/19 05:51:22,2.1,34.78 N,126.48 E,전남 영암군 서쪽 20km 지역
127,2007/12/16 00:04:35,2.2,35.62 N,127.8 E,경남 함양군 북북동쪽 13km 지역
128,2007/12/22 09:54:22,2.6,38.63 N,125.5 E,북한 황해남도 안악군 북쪽 14km 지역
129,2007/12/28 04:03:22,2.7,34.98 N,129.64 E,부산 해운대구 동남동쪽 48km 해역
130,2008/01/01 06:33:38,3.2,40.41 N,127.25 E,북한 함경남도 장진 북북동쪽 3km 지역
131,2008/01/10 22:51:55,2.2,35.09 N,125.06 E,전남 신안군 흑산면 북서쪽 62km 해역
132,2008/01/14 18:03:14,2.2,36.19 N,127.54 E,충남 금산군 북북동쪽 10km 지역
133,2008/01/16 19:58:00,3.9,35.65 N,125.37 E,전북 군산시 어청도 남서쪽 75km 해역
134,2008/02/05 10:06:12,2.3,38.41 N,125.9 E,북한 황해북도 사리원 남동쪽 16km 지역
135,2008/02/23 18:19:39,2.2,35.82 N,129.33 E,경북 경주시 동쪽 11km 지역
136,2008/02/26 09:10:58,2.6,37.95 N,124.85 E,인천 백령도 동쪽 15km 해역
137,2008/02/26 23:22:48,2.5,35.97 N,126.56 E,전북 군산시 서쪽 14km 해역
138,2008/02/29 05:37:52,2.4,33.57 N,126.54 E,제주 제주시 북쪽 8km 해역
139,2008/02/29 15:53:00,3.2,38.75 N,126.23 E,북한 황해북도 신계 북서쪽 38km 지역
140,2008/03/08 18:05:00,2.0,35.66 N,128.8 E,경북 청도군 동북동쪽 6km 지역
141,2008/03/09 18:07:10,2.2,38.75 N,125.84 E,북한 황해북도 송림 동쪽 18km 지역
142,2008/03/15 01:38:01,2.0,38.11 N,127.1 E,경기 연천군 북동쪽 3km 지역
143,2008/03/21 23:57:29,2.7,35.15 N,124.57 E,전남 신안군 흑산면 북서쪽 99km 해역
144,2008/03/27 16:29:21,2.8,37.78 N,126.4 E,인천 강화군 서북서쪽 9km 지역
145,2008/05/26 11:01:06,2.6,35.85 N,130.01 E,경북 포항시 남구 동남동쪽 61km 해역
146,2008/05/31 21:59:30,4.2,33.5 N,125.69 E,제주 제주시 서쪽 78km 해역
147,2008/06/21 23:30:12,2.2,35.57 N,128.6 E,경남 밀양시 북서쪽 17km 지역
148,2008/06/30 03:34:07,2.3,35.1 N,124.66 E,전남 신안군 흑산면 북서쪽 89km 해역
149,2008/07/01 16:32:50,2.3,35.54 N,128.82 E,경남 밀양시 북동쪽 8km 지역
150,2008/07/04 19:39:10,2.1,39.26 N,127.22 E,북한 함경남도 고원 남쪽 18km 지역
151,2008/07/04 20:48:45,2.5,39.3 N,127.19 E,북한 함경남도 고원 남남서쪽 15km 지역
152,2008/07/22 23:11:26,2.5,35.31 N,129.74 E,울산 동구 남동쪽 36km 해역
153,2008/07/23 19:29:57,3.2,34.49 N,128.04 E,경남 남해군 남남동쪽 41km 해역
154,2008/07/27 17:13:18,2.4,39.4 N,126.03 E,북한 평안남도 평성 북동쪽 23km 지역
155,2008/07/27 21:48:48,2.2,34.45 N,128.08 E,경남 남해군 남남동쪽 46km 해역
156,2008/08/20 14:45:26,2.2,35.72 N,125.69 E,전북 군산시 어청도 남남서쪽 52km 해역
157,2008/09/04 00:44:29,3.0,35.13 N,125.04 E,전남 신안군 흑산면 북서쪽 66km 해역
158,2008/09/08 15:35:05,2.6,34.57 N,128.25 E,경남 통영시 남남서쪽 36km 해역
159,2008/09/11 10:46:10,2.4,38.08 N,127.12 E,경기 연천군 동남동쪽 4km 지역
160,2008/09/13 12:05:08,2.5,35.6 N,126.99 E,전북 정읍시 동북동쪽 12km 지역
161,2008/09/20 11:24:01,2.8,34.11 N,125.02 E,전남 신안군 흑산면 남서쪽 73km 해역
162,2008/10/08 11:04:34,2.1,38.12 N,127.11 E,경기 연천군 북동쪽 4km 지역
163,2008/10/29 09:26:14,3.4,36.35 N,127.25 E,충남 공주시 남동쪽 15km 지역
164,2008/11/05 18:12:31,2.3,37.07 N,129.11 E,경북 봉화군 동북동쪽 38km 지역
165,2008/11/11 21:20:53,3.0,38.54 N,125.65 E,북한 황해북도 사리원 서북서쪽 10km 지역
166,2008/11/11 21:30:02,3.0,38.55 N,125.67 E,북한 황해북도 사리원 서북서쪽 9km 지역
167,2008/11/11 23:37:54,2.5,38.56 N,125.66 E,북한 황해북도 사리원 북서쪽 11km 지역
168,2008/12/07 02:28:07,2.4,36.45 N,129.56 E,경북 영덕군 동북동쪽 18km 해역
169,2008/12/07 18:02:14,2.3,37.79 N,125.02 E,북한 황해남도 옹진 서남서쪽 34km 해역
170,2008/12/08 08:49:43,2.4,35.14 N,124.62 E,전남 신안군 흑산면 북서쪽 95km 해역
171,2008/12/11 19:31:20,2.7,40.38 N,126.87 E,북한 자강도 용림 남남동쪽 14km 지역
172,2008/12/18 23:38:13,2.3,36.47 N,129.66 E,경북 영덕군 동북동쪽 27km 해역
173,2008/12/19 17:53:39,3.5,36.49 N,129.68 E,경북 영덕군 동북동쪽 29km 해역
174,2008/12/19 21:53:49,2.2,37.36 N,129.83 E,경북 울진군 북동쪽 56km 해역
175,2008/12/29 05:51:16,2.2,35.67 N,126.34 E,전북 부안군 서남서쪽 36km 해역
176,2009/01/01 06:45:35,2.1,36.31 N,128.35 E,경북 구미시 북쪽 22km 지역
177,2009/01/01 15:58:10,2.5,36.5 N,129.08 E,경북 청송군 북북동쪽 7km 지역
178,2009/01/02 08:15:53,2.2,33.94 N,127.67 E,전남 고흥군 남남동쪽 82km 해역
179,2009/01/05 02:59:59,2.1,33.47 N,127.31 E,제주 서귀포시 성산 동북동쪽 41km 해역
180,2009/01/09 20:53:22,3.2,38.73 N,125.82 E,북한 황해북도 사리원 북북동쪽 22km 지역
181,2009/01/13 19:07:01,3.0,36.47 N,129.64 E,경북 영덕군 동쪽 22km 해역
182,2009/02/12 17:46:16,3.2,35.26 N,127.44 E,전남 구례군 동쪽 7km 지역
183,2009/02/15 12:57:05,2.3,35.85 N,127.72 E,전북 무주군 남남동쪽 18km 지역
184,2009/02/15 22:41:57,3.0,35.76 N,125.71 E,전북 군산시 어청도 남남서쪽 47km 해역
185,2009/02/19 00:01:39,2.3,39.72 N,126.89 E,북한 함경남도 요덕 북북동쪽 9km 지역
186,2009/02/23 21:47:16,2.8,37.13 N,126.01 E,인천 옹진군 덕적도 남서쪽 15km 해역
187,2009/02/26 15:03:55,2.7,35.03 N,129.59 E,부산 기장군 남동쪽 41km 해역
188,2009/02/26 20:53:04,2.2,36.94 N,129.36 E,경북 울진군 남서쪽 7km 지역
189,2009/03/02 14:20:26,3.4,37.08 N,124.65 E,충남 태안군 서격렬비도 북서쪽 95km 해역
190,2009/03/26 02:32:14,2.3,33.38 N,127.14 E,제주 서귀포시 성산 동쪽 24km 해역
191,2009/03/26 22:21:25,2.9,38.11 N,127.13 E,경기 연천군 동쪽 3km 지역
192,2009/03/30 05:58:17,2.3,36.21 N,128.08 E,경북 김천시 북쪽 8km 지역
193,2009/04/02 20:28:00,3.0,37.6 N,125.95 E,인천 강화군 서남서쪽 50km 해역
194,2009/04/14 04:51:33,2.5,38.45 N,125.65 E,북한 황해북도 사리원 서남서쪽 11km 지역
195,2009/04/18 20:19:01,2.5,33.39 N,127.07 E,제주 서귀포시 성산 동쪽 18km 해역
196,2009/04/21 17:44:57,2.0,35.45 N,128.22 E,경남 의령군 북북서쪽 15km 지역
197,2009/04/29 12:15:42,2.9,33.43 N,127.36 E,제주 서귀포시 성산 동쪽 45km 해역
198,2009/05/02 07:58:28,4.0,36.56 N,128.71 E,경북 안동시 서남서쪽 2km 지역
199,2009/05/02 12:28:29,2.9,36.57 N,128.71 E,경북 안동시 서북서쪽 2km 지역
200,2009/05/14 20:50:12,2.2,36.25 N,127.13 E,충남 논산시 북쪽 11km 지역
201,2009/05/15 22:41:31,2.4,36.59 N,126.41 E,충남 태안군 남남동쪽 20km 해역
202,2009/05/25 18:12:30,2.4,36.95 N,129.33 E,경북 울진군 남서쪽 8km 지역
203,2009/05/26 18:59:02,2.2,36.57 N,129.22 E,경북 영양군 남동쪽 14km 지역
